Brand Name,Address,latitude,longitude,charging type,charging port,cost per unit,payment type
Vivek E rickshaw parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Shiva E Rickshaw Charging Point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Harneet E-Rickshaw parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Vijay Rickshaw Charging Point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Sanjay Charging point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Sood Battery Point Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Joginder E- Rickshaw parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Gaurav Battery Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
B Y Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
DK E Rickshaw parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Smart E Uttam Nagar Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Shri Shayam Documents  Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Jatin Traders Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Om battery and inverter Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Hare Krishna Enterprises Pvt Ltd Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
HK Charging Station Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Satguru Batteries Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Satija Batteries Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Nitin Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Balaji parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
REF CON SERVICES Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Shiva Kushwaha E Rickshaw parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
HS Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Tarun Parking Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Maan Energy Station Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Hybrid fleet Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
ML Parking  Battery Smart,"NDMC Parking, Khan Market, New Delhi, 110003",28.600324,77.226883,Charging,1,9.5,Payment Gateway/e-Wallet
Echargeup,"Plot No.7, Zakhira Chowk,Near Ram Dharam Katta,Delhi",,,,75,,Cash/E Wallet
Echargeup,"RZG 75 , 50 FOOT ROAD ( near Jay Veer Nan, Bharat Hospital ),Nihal Vihar Nangloi",,,,30,,Cash/E Wallet
Echargeup,"B-9 Tihar Village ,Manak Vihar, Ext-Tilak Nagar ,West Delhi",,,,30,,Cash/E Wallet
Echargeup,"Ground Floor, WZ 107/1-B, Gali No - 21, Sant Garh",,,,30,,Cash/E Wallet
Echargeup,"C-514, Madipur Colony ,Paschim Vihar , West Delhi",,,,30,,Cash/E Wallet
Echargeup,"Shop No C12, LSC Market ,Road No 33,Punjabi Bagh ,Near Paschim Petrol Pump",,,,30,,Cash/E Wallet
Echargeup,"K-5 Extn. Mohan Garden Vikrant Chowk ,OPP R.P Memorial School ,Uttam Nagar New Delhi",,,,30,,Cash/E Wallet
Echargeup,"523/24, Block WZ, Basai Darapur,Near Ramesh NagarMetro Station",,,,20,,Cash/E Wallet
Echargeup,280-B Street no-4 sri nager shakur basti Delhi - 110034,,,,20,,Cash/E Wallet
Echargeup,"A-3, Ranjeet Vihar, Pratap Shah Market, Near Sharma Hardware, New Delhi",,,,20,,Cash/E Wallet
Echargeup,"1/1 , Shop No.-1, Som Bazar Road, Ashok Nagar",,,,20,,Cash/E Wallet
Echargeup,"R-51A,J.J Colony Raghubir Nagar rajori Garden,Tagore Garden",,,,15,,Cash/E Wallet
Echargeup,"3/119, Subhash Nagar, West Delhi",,,,15,,Cash/E Wallet
Echargeup,"17/20, First Floor, Near Arjun Hospital,Subhash Nagar, West Delhi",,,,15,,Cash/E Wallet
Echargeup,"Plot No-1 A, KH No-4/3 Shiv Vihar, Pole No.-0596, Nangloi New Delhi",,,,15,,Cash/E Wallet
Echargeup,"A-22 Sewak Park, Main Drwarka Road, Near Dwarka More, Uttam Nagar Delhi-",,,,15,,Cash/E Wallet
Echargeup,"B-21-A, G/F Patel, Garden Uttam Nagar, New Delhi",,,,15,,Cash/E Wallet
Echargeup,"Plot No-5, Kh no-28/1, Old Palam Road, Sulahkul vihar, Kakrola",,,,15,,Cash/E Wallet
Echargeup,"Plot No-429,430, First Floor Kh-21/3, Kakrola Housing Complex, New Delhi",,,,10,,Cash/E Wallet
Massive Mobility,"A-1/1, Hardev Puri, 100 ft Road, Nathu Colony Chowk, Sahadara",28.689606,77.298775,Charging,1,15,Cash/E-Wallet
Massive Mobility,"Plot no. 1-A, Shiv vihar, Nangloi",28.661666,77.061585,Charging,10,15,Cash/E-Wallet
Massive Mobility,"9/17, Near Chajju Gate, east babarpur, Shahdara",28.688152,77.282319,Charging,5,15,Cash/E-Wallet
Massive Mobility,"E-473, New Ashok Nagar",28.597866,77.310739,Charging,1,15,Cash/E-Wallet
Massive Mobility,"House no. 1, Block A, Harsukh Nagar, Prem Nagar Kirari",28.688874,77.061662,Charging,5,15,Cash/E-Wallet
Massive Mobility,"WP-572, Wazirpur Village, Ashok Vihar",28.690235,77.174772,Charging,1,15,Cash/E-Wallet
Massive Mobility,"Block J, CR Park",28.537731,77.247888,Charging,1,15,Cash/E-Wallet
Massive Mobility,"B154, Block E New Ashok Nagar",28.592390,77.304336,Charging,2,15,Cash/E-Wallet
Massive Mobility,"Plot no. 984-E, 100ft Road, Babarpur Extn, Chhajjupur Shahdara",28.690569,77.280285,Charging,1,15,Cash/E-Wallet
Massive Mobility,"C-5, Opp. Metro pillar 111, Kanti Nagar",28.667820,77.281904,Charging,1,15,Cash/E-Wallet
Massive Mobility,"C-35, Kh.no 475-476 Wazirabad",28.703118,77.265863,Charging,1,15,Cash/E-Wallet
Massive Mobility,"D-31, Janta Flat, Near Machis Godam, Kondli Mayur Vihar Phase 3",28.611203,77.327790,Charging,1,15,Cash/E-Wallet
Massive Mobility,"Stall no. 27, Cycle Repairing Barakhamba Road",28.630737,77.223457,Charging,1,15,Cash/E-Wallet
Massive Mobility,Ashoka Enclave Pashchim Vihar,28.678849,77.091490,Charging,1,15,Cash/E-Wallet
Revos,Zypp Electric Mohan Estate Station,28.5289989990052,77.2924758866429,Charging,1,10,E-Wallet/Card/UPI
Revos,Zypp Electric Mohan Estate Station 2,28.52918958264,77.2925586998462,Charging,1,10,E-Wallet/Card/UPI
Revos,Zypp Electric Mohan Estate Station 3,28.5290260990176,77.2925496473908,Charging,1,10,E-Wallet/Card/UPI
Revos,"Pocket D, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020",28.5268056422924,77.2745211794972,Charging,1,10,E-Wallet/Card/UPI
Revos,"Pocket D, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020",28.5239084915866,77.2761030122637,Charging,1,10,E-Wallet/Card/UPI
Revos,"Sanjay Colony II, Sanjay Colony, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020",28.5413891637029,77.275659777224,Charging,1,10,E-Wallet/Card/UPI
Revos,"Sanjay Colony II, Sanjay Colony, Okhla Phase II, Okhla Industrial Estate, New Delhi, Delhi 110020",28.5413143528646,77.2757818177342,Charging,1,10,E-Wallet/Card/UPI
Revos,CSC E GOVERNANCE SERVICE INDIA LTD.,28.5508079528808,77.2690963745117,Charging,1,,E-Wallet/Card/UPI
Revos,Delhi,28.5624359954026,77.28738874197,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5609188079834,77.2856140136718,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624309893803,77.2873062640428,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5605373382568,77.2844772338867,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624197994473,77.2873086109757,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624197994473,77.2873086109757,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5623950638018,77.2873904183507,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624754546285,77.287280447781,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5625381469726,77.2873916625976,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624771118164,77.2873382568359,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5624569029047,77.2873696312308,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5623912811279,77.2873458862304,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5623785733682,77.2872616723179,Charging,1,,E-Wallet/Card/UPI
Revos,DELHI,28.5623989105224,77.2873611450195,Charging,1,,E-Wallet/Card/UPI
